,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
4696,58_50,Real,47.03113309325043,47.629314705610746,"[0.5971562660844417, 0.49818161236032266, 0]","[Client id: 58, ( id: 3, corrupt: False ), Client id: 7]","[0.0, 0.0, 0.0, 0.0, 2.1379085965445326e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4697,92_51,Real,46.246353837458095,47.635303689587026,"[0.5856551767205285, 1.2889498521289378, 0]","[Client id: 92, ( id: 1, corrupt: False ), Client id: 59]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7899549933321713e-12, 0.0, 0.0, 0.0, 0.0, 3.731628028826903e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4698,84_49,Real,47.36020656696014,47.64312926535125,"[0.9969975502912922, 0.182922698391116, 0]","[Client id: 84, ( id: 9, corrupt: False ), Client id: 77]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.82999246025526e-16, 0.0, 7.522455552209236e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4699,85_39,Real,47.113880106388834,47.65558543343629,"[1.247839808889633, 0.4417053270474627, 0]","[Client id: 85, ( id: 6, corrupt: False ), Client id: 5]","[4.0947733802625984e-23, 0.0, 0.0, 0.0, 0.0, 2.360991975860117e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.728653025496124e-10, 0.0, 0.0, 5.056269899036028e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4700,1_47,Real,46.98936723329291,47.655781661842546,"[0.15621335149142057, 0.566414428549641, 0]","[Client id: 1, ( id: 1, corrupt: False ), Client id: 25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7899549933321713e-12, 0.0, 0.0, 0.0, 0.0, 3.731628028826903e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4701,9_55,Real,45.416586568798735,47.66951174079796,"[0.20118392684897834, 2.1529251719992293, 0]","[Client id: 9, ( id: 10, corrupt: False ), Client id: 77]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2500501250189071e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4702,39_63,Real,47.46720844817848,47.67954146120651,"[0.2501792597003901, 0.11233301302803676, 0]","[Client id: 39, ( id: 2, corrupt: False ), Client id: 90]","[0.0, 5.380604790297636e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2133666614717559e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016760194537972315, 0.0, 0.0, 0.0]"
4703,92_50,Real,45.660698660737566,47.68249170732628,"[0.7075941740278675, 1.9217930465887147, 0]","[Client id: 92, ( id: 1, corrupt: False ), Client id: 71]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7899549933321713e-12, 0.0, 0.0, 0.0, 0.0, 3.731628028826904e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4704,24_50,Real,46.057954033696774,47.68781135274552,"[0.16752697575156753, 1.5298573190487497, 0]","[Client id: 24, ( id: 3, corrupt: False ), Client id: 50]","[0.0, 0.0, 0.0, 0.0, 1.9852008396484945e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4705,51_45,Real,47.37977613993042,47.69141704369273,"[0.47142582022548224, 0.21164090376231376, 0]","[Client id: 51, ( id: 8, corrupt: False ), Client id: 45]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.865536826188935e-11, 0.0, 0.0, 3.85072543899764e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
