,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
2882,26_17,Real,28.28365974749594,"[0.5269901473893694, 0.0845333536176299, 0]","[Client id: 26, ( id: 5, corrupt: False ), Client id: 93]"
2883,37_32,Real,28.31898030807667,"[1.9069127843712717, 0.9098679660815953, 0]","[Client id: 37, ( id: 4, corrupt: False ), Client id: 21]"
2884,96_23,Real,28.328165422086578,"[1.0766997828529055, 1.145430275506743, 0]","[Client id: 96, ( id: 3, corrupt: False ), Client id: 92]"
2885,55_35,Real,28.354027310817692,"[1.095647761519985, 0.13959623447768327, 0]","[Client id: 55, ( id: 3, corrupt: False ), Client id: 79]"
2886,25_49,Real,28.354571055880964,"[0.49028550332177145, 0.700987837101967, 0]","[Client id: 25, ( id: 10, corrupt: False ), Client id: 70]"
2887,40_28,Real,28.360566748860023,"[1.3387332133641214, 0.2021826527902633, 0]","[Client id: 40, ( id: 3, corrupt: False ), Client id: 9]"
2888,25_50,Real,28.36242033193372,"[0.007849276052757516, 1.9893239615950493, 0]","[Client id: 25, ( id: 5, corrupt: False ), Client id: 71]"
2889,77_22,Real,28.369107276823488,"[0.8158082182371549, 0.7057201328915751, 0]","[Client id: 77, ( id: 4, corrupt: False ), Client id: 80]"
2890,40_29,Real,28.37039165792736,"[0.009824909067335732, 1.0260441011540278, 0]","[Client id: 40, ( id: 9, corrupt: False ), Client id: 62]"
2891,59_23,Real,28.372150756489123,"[0.1428271412869882, 0.8513748007328014, 0]","[Client id: 59, ( id: 1, corrupt: False ), Client id: 83]"
2892,44_34,Real,28.37606868713504,"[2.0420935040824326, 0.07945782290518376, 0]","[Client id: 44, ( id: 4, corrupt: False ), Client id: 35]"
2893,3_32,Real,28.38764455588092,"[0.591088828581815, 0.22500451561984416, 0]","[Client id: 3, ( id: 8, corrupt: False ), Client id: 76]"
2894,15_24,Real,28.41987950756231,"[0.9248527115539501, 0.4644649057711149, 0]","[Client id: 15, ( id: 3, corrupt: False ), Client id: 32]"
2895,30_26,Real,28.42467452261939,"[2.005170343123209, 0.8665400118642194, 0]","[Client id: 30, ( id: 7, corrupt: False ), Client id: 61]"
2896,63_31,Real,28.425320533409845,"[0.6781427290548387, 1.0971804943012475, 0]","[Client id: 63, ( id: 7, corrupt: False ), Client id: 46]"
2897,35_27,Real,28.428282667391752,"[1.128556319667419, 0.02707127044044234, 0]","[Client id: 35, ( id: 10, corrupt: False ), Client id: 45]"
2898,92_27,Real,28.438018238714527,"[2.2458329995762054, 0.054336721403458015, 0]","[Client id: 92, ( id: 6, corrupt: False ), Client id: 44]"
2899,32_28,Real,28.445711062482467,"[0.8818976830707148, 0.3862229010436879, 0]","[Client id: 32, ( id: 2, corrupt: False ), Client id: 61]"
2900,0_32,Real,28.44760927637045,"[2.151692790982933, 0.8522018941725117, 0]","[Client id: 0, ( id: 7, corrupt: False ), Client id: 80]"
